# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	459
#@/user_id	1b1956fa-e7eb-4c46-9160-185902ff9fc6
a 	啊	c=1 d=1 t=393
shi jian 	時間	c=2 d=1.46533 t=215
shi li 	實力	c=1 d=1 t=372
shi shi shang 	事實上	c=1 d=1 t=311
shi ti 	試題	c=4 d=3.91625 t=185
shi wo 	是我	c=1 d=1 t=198
shou 	手	c=1 d=1 t=416
shou bi 	手臂	c=3 d=2.91221 t=44
shou ji 	手機	c=2 d=1.99501 t=137
shou xian 	受限	c=1 d=1 t=411
shou xian 	首先	c=1 d=1 t=336
shu ru fa 	輸入法	c=1 d=0.954295 t=82
shu ru fa ruan jian 	輸入法軟件	c=1 d=1 t=83
shu ru fa yin qing 	輸入法引擎	c=1 d=1 t=80
shuang 	爽	c=1 d=1 t=449
shuang 	雙	c=0 d=0.1 t=167
shuang wo lun 	雙渦輪	c=1 d=1 t=168
shui 	水	c=1 d=0.985112 t=459
shuo ming 	說明	c=1 d=1 t=348
si guang 	死光	c=0 d=0.1 t=338
song gei 	送給	c=0 d=0.1 t=200
song gei wo 	送給我	c=1 d=1 t=201
sui xing 	隨性	c=1 d=1 t=318
sui xing 	隨行	c=1 d=1 t=317
suo yi 	所以	c=0 d=0.1 t=339
suo yi ta 	所以他	c=1 d=1 t=340
suo you 	所有	c=2 d=1.97531 t=95
ta 	他	c=2 d=1.98029 t=365
ta men 	他們	c=2 d=1.97045 t=319
tai 	太	c=2 d=1.57067 t=394
tai ke pa 	太可怕	c=1 d=1 t=395
tai wan 	臺灣	c=2 d=1.93124 t=459
tang lang 	趟浪	c=1 d=0.980199 t=459
teng xun 	騰訊	c=1 d=1 t=108
ti 	題	c=0 d=0.1 t=238
tun tu liang 	吞吐量	c=1 d=1 t=172
wa ku 	挖苦	c=1 d=1 t=327
wan er 	玩兒	c=1 d=1 t=237
wang 	望	c=1 d=1 t=51
wang 	網	c=0 d=0.1 t=49
wang bu dao 	網不到	c=1 d=1 t=50
wang yuan jing 	望遠鏡	c=1 d=1 t=49
wei hu 	維護	c=1 d=1.08511 t=66
wei hu dao 	維護到	c=1 d=1 t=67
wei shen me 	爲什麼	c=1 d=1 t=412
wei xin 	微信	c=2 d=1.86071 t=141
wen ding 	穩定	c=2 d=1.93707 t=73
wen ge 	文革	c=4 d=2.40426 t=406
wen jian 	文件	c=2 d=1.97531 t=96
wen wo 	問我	c=1 d=1 t=219
wen zhe 	問者	c=1 d=1 t=224
wo 	我	c=3 d=1.11237 t=337
wo jue de 	我覺得	c=1 d=1 t=238
wo lun 	渦輪	c=3 d=3.05544 t=167
wo men 	我們	c=1 d=1.07189 t=77
wo men shi 	我們是	c=1 d=1 t=12
wu nai 	無奈	c=1 d=1 t=324
xi 	希	c=0 d=0.1 t=40
xi bu 	西部	c=0 d=0.1 t=34
xi bu xi guan 	希不習慣	c=2 d=1.97045 t=47
xi bu xi guan 	西部習慣	c=1 d=1 t=35
xi guan 	習慣	c=0 d=0.1 t=34
xi tong 	系統	c=1 d=1 t=436
xia qu 	下去	c=1 d=1.08781 t=269
xian rou 	鮮肉	c=1 d=1 t=357
xian zai 	現在	c=1 d=1 t=68
xiang ni 	像你	c=1 d=1 t=322
xiang ni 	想你	c=1 d=1 t=321
xiao lang hao 	小狼毫	c=1 d=1 t=25
xin 	心	c=0 d=0.1 t=196
xin kuan 	新款	c=0 d=0.1 t=212
xin li 	心理	c=1 d=1 t=375
xin li 	心裏	c=2 d=1.56836 t=373
xin li xue 	心理學	c=2 d=1.99005 t=376
xin pian 	芯片	c=4 d=3.9017 t=134
xu yao 	需要	c=1 d=1 t=259
xun zhang 	勳章	c=1 d=1 t=402
yao 	要	c=2 d=1.43387 t=413
ye 	也	c=2 d=1.15803 t=391
ye xiang 	也想	c=1 d=1 t=320
ye xu 	也許	c=0 d=0.1 t=365
ye xu ta 	也許他	c=1 d=1 t=366
yi dian 	一點	c=2 d=1.8825 t=276
yi fu 	衣服	c=1 d=0.991366 t=212
yi hu 	一戶	c=1 d=1 t=190
yi jing 	已經	c=1 d=1 t=71
yi sheng 	醫生	c=1 d=1 t=261
yi yang 	一樣	c=1 d=1.04025 t=323
yi zhen feng 	一陣風	c=1 d=1 t=146
yin qing 	引擎	c=0 d=0.1 t=79
yin wei 	因爲	c=1 d=1 t=114
yong 	用	c=1 d=1.09231 t=131
